ID,Image,method,edge density,time (ms)
57,airplane_00057.png,Prewitt,0.13855229591836735,0.5400180816650391
57,airplane_00057.png,Canny,0.0,0.23055076599121094
58,airplane_00058.png,Sobel,0.2281768176020408,0.2281665802001953
58,airplane_00058.png,Prewitt,0.22526705994897958,0.5486011505126953
58,airplane_00058.png,Canny,0.0,0.22792816162109375
59,airplane_00059.png,Sobel,0.19997608418367346,0.2338886260986328
59,airplane_00059.png,Prewitt,0.19844148596938777,0.5335807800292969
59,airplane_00059.png,Canny,0.00625797193877551,0.26035308837890625
60,airplane_00060.png,Sobel,0.2390983737244898,0.2155303955078125
60,airplane_00060.png,Prewitt,0.2390186543367347,0.5433559417724609
60,airplane_00060.png,Canny,0.0,0.22530555725097656
61,airplane_00061.png,Sobel,0.17313058035714285,0.22912025451660156
61,airplane_00061.png,Prewitt,0.17255261479591838,0.5450248718261719
61,airplane_00061.png,Canny,0.0014748086734693877,0.2923011779785156
62,airplane_00062.png,Sobel,0.13681839923469388,0.6229877471923828
62,airplane_00062.png,Prewitt,0.13325095663265307,0.5586147308349609
62,airplane_00062.png,Canny,0.0,0.2541542053222656
63,airplane_00063.png,Sobel,0.16270727040816327,0.22912025451660156
63,airplane_00063.png,Prewitt,0.1630062181122449,0.5295276641845703
63,airplane_00063.png,Canny,0.001753826530612245,0.2841949462890625
64,airplane_00064.png,Sobel,0.17522321428571427,0.244140625
64,airplane_00064.png,Prewitt,0.17619977678571427,0.5605220794677734
64,airplane_00064.png,Canny,0.003567442602040816,0.240325927734375
65,airplane_00065.png,Sobel,0.15945870535714285,0.23317337036132812
65,airplane_00065.png,Prewitt,0.15945870535714285,0.5307197570800781
65,airplane_00065.png,Canny,0.0,0.2105236053466797
66,airplane_00066.png,Sobel,0.09897161989795919,0.23889541625976562
66,airplane_00066.png,Prewitt,0.10004783163265306,0.5769729614257812
66,airplane_00066.png,Canny,0.0,0.2276897430419922
67,airplane_00067.png,Sobel,0.17763472576530612,0.308990478515625
67,airplane_00067.png,Prewitt,0.17869100765306123,0.5838871002197266
67,airplane_00067.png,Canny,0.0,0.20813941955566406
68,airplane_00068.png,Sobel,0.18395248724489796,0.3235340118408203
68,airplane_00068.png,Prewitt,0.18273676658163265,0.5526542663574219
68,airplane_00068.png,Canny,0.002889827806122449,0.2491474151611328
69,airplane_00069.png,Sobel,0.17857142857142858,0.2512931823730469
69,airplane_00069.png,Prewitt,0.17859135841836735,0.5540847778320312
69,airplane_00069.png,Canny,0.0006576849489795918,0.21457672119140625
70,airplane_00070.png,Sobel,0.19170519770408162,0.34117698669433594
70,airplane_00070.png,Prewitt,0.18993144132653061,0.6937980651855469
70,airplane_00070.png,Canny,0.0,0.24318695068359375
71,airplane_00071.png,Sobel,0.16161112882653061,0.24127960205078125
71,airplane_00071.png,Prewitt,0.1619499362244898,0.9024143218994141
71,airplane_00071.png,Canny,0.0,0.2396106719970703
72,airplane_00072.png,Sobel,0.20119180484693877,0.23818016052246094
72,airplane_00072.png,Prewitt,0.2002750318877551,0.5249977111816406
72,airplane_00072.png,Canny,0.0024115114795918366,0.23698806762695312
73,airplane_00073.png,Sobel,0.19642857142857142,0.23245811462402344
73,airplane_00073.png,Prewitt,0.19654815051020408,0.5443096160888672
73,airplane_00073.png,Canny,0.003627232142857143,0.244140625
74,airplane_00074.png,Sobel,0.14985251913265307,0.42748451232910156
74,airplane_00074.png,Prewitt,0.14979272959183673,0.9989738464355469
74,airplane_00074.png,Canny,0.0038863201530612247,0.2734661102294922
75,airplane_00075.png,Sobel,0.3166454081632653,0.2307891845703125
75,airplane_00075.png,Prewitt,0.31602758290816324,0.606536865234375
75,airplane_00075.png,Canny,0.008510044642857142,0.38313865661621094
76,airplane_00076.png,Sobel,0.11328125,0.28586387634277344
76,airplane_00076.png,Prewitt,0.11375956632653061,0.6072521209716797
76,airplane_00076.png,Canny,0.0,0.2715587615966797
77,airplane_00077.png,Sobel,0.18004623724489796,0.25081634521484375
77,airplane_00077.png,Prewitt,0.1755420918367347,0.5548000335693359
77,airplane_00077.png,Canny,0.0010562818877551021,0.232696533203125
78,airplane_00078.png,Sobel,0.11469626913265306,0.2617835998535156
78,airplane_00078.png,Prewitt,0.11493542729591837,0.5769729614257812
78,airplane_00078.png,Canny,0.0013552295918367347,0.2803802490234375
79,airplane_00079.png,Sobel,0.24101163903061223,0.22840499877929688
79,airplane_00079.png,Prewitt,0.23726482780612246,0.5550384521484375
79,airplane_00079.png,Canny,0.0001793686224489796,0.2987384796142578
80,airplane_00080.png,Sobel,0.11768574617346939,0.45299530029296875
80,airplane_00080.png,Prewitt,0.11965880102040816,0.5536079406738281
80,airplane_00080.png,Canny,0.0007573341836734694,0.2913475036621094
81,airplane_00081.png,Sobel,0.17869100765306123,0.2219676971435547
81,airplane_00081.png,Prewitt,0.17811304209183673,0.5550384521484375
81,airplane_00081.png,Canny,0.0,0.2319812774658203
82,airplane_00082.png,Sobel,0.16619499362244897,0.2810955047607422
82,airplane_00082.png,Prewitt,0.16661352040816327,0.5433559417724609
82,airplane_00082.png,Canny,0.0027503188775510204,0.29277801513671875
83,airplane_00083.png,Sobel,0.15425701530612246,0.24056434631347656
83,airplane_00083.png,Prewitt,0.1542171556122449,0.5578994750976562
83,airplane_00083.png,Canny,0.0,0.22721290588378906
84,airplane_00084.png,Sobel,0.1181640625,0.23865699768066406
84,airplane_00084.png,Prewitt,0.1184829400510204,0.6048679351806641
84,airplane_00084.png,Canny,0.000817123724489796,0.30040740966796875
85,airplane_00085.png,Sobel,0.29087611607142855,0.21338462829589844
85,airplane_00085.png,Prewitt,0.2917330994897959,0.5323886871337891
85,airplane_00085.png,Canny,0.0,0.22864341735839844
86,airplane_00086.png,Sobel,0.14644451530612246,0.26154518127441406
86,airplane_00086.png,Prewitt,0.14626514668367346,0.6234645843505859
86,airplane_00086.png,Canny,0.002331792091836735,0.24509429931640625
87,airplane_00087.png,Sobel,0.2615593112244898,0.22745132446289062
87,airplane_00087.png,Prewitt,0.26096141581632654,0.5345344543457031
87,airplane_00087.png,Canny,0.0,0.2524852752685547
88,airplane_00088.png,Sobel,0.2328204719387755,0.5090236663818359
88,airplane_00088.png,Prewitt,0.2326610331632653,0.6036758422851562
88,airplane_00088.png,Canny,0.00027901785714285713,0.29158592224121094
89,airplane_00089.png,Sobel,0.11055086096938775,0.27251243591308594
89,airplane_00089.png,Prewitt,0.11013233418367346,0.5481243133544922
89,airplane_00089.png,Canny,0.0013153698979591836,0.274658203125
90,airplane_00090.png,Sobel,0.29823022959183676,0.2224445343017578
90,airplane_00090.png,Prewitt,0.29904735331632654,0.5440711975097656
90,airplane_00090.png,Canny,0.0,0.25177001953125
91,airplane_00091.png,Sobel,0.24451929209183673,0.24008750915527344
91,airplane_00091.png,Prewitt,0.2455157844387755,0.5860328674316406
91,airplane_00091.png,Canny,0.0,0.2181529998779297
92,airplane_00092.png,Sobel,0.22197863520408162,0.3859996795654297
92,airplane_00092.png,Prewitt,0.22199856505102042,0.5791187286376953
92,airplane_00092.png,Canny,0.0017338966836734694,0.28777122497558594
93,airplane_00093.png,Sobel,0.14269770408163265,0.4227161407470703
